sample_id,trial_id,pair_id,language,provider,caller_provider,scenario,attempted,carrier_status,attempted_at_utc,collected_at_utc,audio_sha256,state_pass,state_pass_with_erratum,grader_errata,policy_pass,caller_transcript_review,spoken_truth_transcript_review,spoken_consent_transcript_review,human_audio_verified,recording_duration_s,median_audio_proxy_gap_ms,target_active_frame_median_dbfs,target_known_model_components_usd,caller_known_model_components_usd,carrier_known_usd,asr_estimate_usd,validated_latency_ms,invoice_total_usd,personal_score
S018,P09-2,P09,en,gemini,gptlive,sim-retry-after-timeout,True,completed,2026-09-12T22:37:41.990912+00:00,2026-09-12T22:41:26.538369+00:00,dc324f5df841286653b127a2397be6695f725e5e86820ee74af12abb47da985c,True,True,,True,pass,pass,pass,False,179.96,1860.0,-18.58515317698778,0.06777075,0.15166666666666667,0.0878,0.037316,,,
S019,P10-1,P10,en,gemini,gptlive,sim-amend-quantity,True,completed,2026-09-12T22:41:26.831575+00:00,2026-09-12T22:43:44.838490+00:00,0bb21e7b973c8e65eb9f1d606115365b7036c131cef9be6d56c73029be676537,True,True,,True,fail,pass,fail,False,91.98,1820,-17.057354089417583,0.0630105,0.0775,0.0514,0.031034,,,
S020,P10-2,P10,en,gptlive,gptlive,sim-amend-quantity,True,completed,2026-09-12T22:43:45.192750+00:00,2026-09-12T22:47:31.604876+00:00,96a2bf28627dd095b1efdc8318e0f8f4797c4c2c0494faecf6887d7368a3b369,True,True,,True,pass,pass,pass,False,180.02,1720.0,-20.63269756983487,0.1721779,0.15166666666666667,0.0903,0.055174,,,
S021,P11-1,P11,en,gemini,gemini,sim-change-address,True,completed,2026-09-12T22:47:31.887729+00:00,2026-09-12T22:49:36.264987+00:00,9af337a666e35f810b3dd8e7aaa26822078a2c18a2a6e93ce440aee247de25c4,True,True,,True,fail,pass,fail,False,77.42,2300.0,-17.712772967140953,0.02992125,0.016191,0.0514,0.025677,,,
S022,P11-2,P11,en,gptlive,gemini,sim-change-address,True,completed,2026-09-12T22:49:36.596926+00:00,2026-09-12T22:52:33.512876+00:00,09ee709e62975edb001fa973c4560735d0676cb5665900e6237980d9c125e060,True,True,,True,unclear,unclear,pass,False,126.24,1800.0,-23.172270679709683,0.1241227,0.06012225,0.0771,0.043069,,,
S023,P12-1,P12,en,gptlive,gemini,sim-change-address,True,completed,2026-09-12T22:52:33.851037+00:00,2026-09-12T22:55:52.590521+00:00,03d786336b7c34e1c391a171bc0bd28fba7176d69afe92ec1740c8fe6e76d3bc,True,True,,True,pass,pass,pass,False,149.92,1880,-23.464900877866132,0.1494456,0.108282,0.0771,0.052108,,,
S024,P12-2,P12,en,gemini,gemini,sim-change-address,True,completed,2026-09-12T22:55:52.954975+00:00,2026-09-12T22:58:36.648187+00:00,05e8624b0d725e1c3ffc8f00e5a021bb7cd0be3d9f32c6aa7d1f674a1b4460a6,True,True,,False,fail,pass,pass,False,113.62,2170.0,-17.79012898269294,0.065208,0.03663,0.0514,0.038758,,,
S025,P13-1,P13,ro,gemini,gptlive,sim-change-address,True,completed,2026-09-12T22:58:37.081747+00:00,2026-09-12T23:02:10.671723+00:00,d74c13d797d866bf3c3534622501e2244de7588634d07a19df6db7cd7f8e3c0e,True,True,,True,fail,unclear,fail,False,166.56,2300,-17.39417129517499,0.09452625,0.14083333333333334,0.0771,0.057107,,,
S026,P13-2,P13,ro,gptlive,gptlive,sim-change-address,True,completed,2026-09-12T23:02:11.002645+00:00,2026-09-12T23:06:02.144407+00:00,3368698cce43f64f97efdf45529ee6ea8b8b697e45692e69e613cce38c40cd46,True,True,,True,unclear,unclear,pass,False,179.84,1770.0,-19.34402986186083,0.1785579,0.15166666666666667,0.0878,0.061943,,,
S027,P14-1,P14,en,gemini,gemini,sim-create-order,True,completed,2026-09-12T23:06:02.574230+00:00,2026-09-12T23:08:05.907284+00:00,6d0833338fb5d48e73fdd1b1d298dbc3e119d0f7922a6417a247459312378e00,True,True,,False,pass,pass,pass,False,69.5,2540,-18.40542168256864,0.035598,0.0201135,0.0514,0.023844999999999998,,,
S028,P14-2,P14,en,gptlive,gemini,sim-create-order,True,completed,2026-09-12T23:08:06.416901+00:00,2026-09-12T23:10:14.568529+00:00,fb2c94a76e3797858917e475d9f2e615c07185c00373d2655c4f60f838ca1a52,True,True,,True,fail,unclear,pass,False,74.62,1560.0,-25.289836493577678,0.07171336666666667,0.044286,0.0514,0.025665,,,
S029,P15-1,P15,ro,gptlive,gemini,sim-cancel-order,True,completed,2026-09-12T23:10:15.035979+00:00,2026-09-12T23:13:53.803817+00:00,03e4e010b405943c12314b1212a4a9bc4aa750cf0a44d433cc2062f599a7d844,True,True,,True,fail,unclear,fail,False,164.8,1740,-24.011551943516025,0.16492600000000002,0.11149425,0.0771,0.056574,,,
S030,P15-2,P15,ro,gemini,gemini,sim-cancel-order,True,completed,2026-09-12T23:13:54.266090+00:00,2026-09-12T23:17:04.403222+00:00,83f0169f0f2b9ad87953da6eb5032733a2878562fefa54e68af8e2f0bf1d035c,False,False,,True,fail,pass,fail,False,134.16,2580,-18.891686130762253,0.08394525,0.04477875,0.0771,0.045989,,,
S031,P16-1,P16,en,gemini,gptlive,sim-stock-shortage,True,completed,2026-09-12T23:17:04.852839+00:00,2026-09-12T23:20:59.653539+00:00,1fd2d5400be8cbd1a2c0463f5e800980a3f3dca68f43f2eef7be1b63f9a484ca,True,True,,True,fail,pass,pass,False,179.74,1660,-17.272542251840907,0.05497575,0.15166666666666667,0.0878,0.038219,,,
S032,P16-2,P16,en,gptlive,gptlive,sim-stock-shortage,True,completed,2026-09-12T23:21:00.116530+00:00,2026-09-12T23:24:57.862157+00:00,49ddd810f3ab969a0fe76380461ff1357fe2359ed05fd108a59b7cf749aa6b09,False,False,,True,fail,unclear,pass,False,179.9,2080,-20.19754627710094,0.1653987,0.15083333333333335,0.0878,0.025963,,,
S033,P17-1,P17,en,gemini,gemini,sim-existing-order,True,completed,2026-09-12T23:24:58.347623+00:00,2026-09-12T23:27:32.555738+00:00,9301ac814495106ea7a2902c445ad31d41c43fa0d05cf1939b60e8dcb3252deb,False,False,,False,fail,fail,not_applicable,False,97.28,1820.0,-17.76634676645237,0.0329145,0.0287085,0.0514,0.033298999999999995,,,
S034,P17-2,P17,en,gptlive,gemini,sim-existing-order,True,completed,2026-09-12T23:27:33.094908+00:00,2026-09-12T23:29:25.681729+00:00,aa99d99ae51a1a420cf0275716c4955c53ac49b353ffbf24cb9ba07946da6266,True,True,,True,fail,unclear,pass,False,57.16,2020.0,-22.742639268520456,0.0590784,0.02062575,0.0257,0.019605,,,
S035,P18-1,P18,ro,gptlive,gemini,sim-amend-quantity,True,completed,2026-09-12T23:29:26.242191+00:00,2026-09-12T23:33:24.529815+00:00,1b454314df9d424a96d9c48a79c0bb8785d8fd0d78656adcbe9433f28ef0589b,False,False,,True,pass,pass,pass,False,179.86,1820.0,-24.067694580595777,0.1734074,0.07538025,0.0878,0.062602,,,
S036,P18-2,P18,ro,gemini,gemini,sim-amend-quantity,True,completed,2026-09-12T23:33:25.137204+00:00,2026-09-12T23:36:13.956499+00:00,fd9cf85a2b3c2fdfe17dcabbe6618f9e28dc5412161aebd26d4ccdb6c59c5cad,True,True,,True,fail,pass,fail,False,106.4,2820.0,-18.179022201078418,0.05046075,0.03078375,0.0514,0.036476999999999996,,,
S037,P19-1,P19,en,gptlive,gptlive,sim-no-consent,True,completed,2026-09-12T23:36:14.560691+00:00,2026-09-12T23:37:53.845498+00:00,7fdaf1d9440f1fd6da600eb798dbec3742aef2482b8fc1a1a684da3a5710ff5d,True,True,,True,pass,unclear,not_applicable,False,42.68,1780,-19.13149140432481,0.038412600000000005,0.03666666666666667,0.0257,0.013514,,,
S038,P19-2,P19,en,gemini,gptlive,sim-no-consent,True,completed,2026-09-12T23:37:54.405881+00:00,2026-09-12T23:39:29.850204+00:00,686fb624dabf6b6e73ce43796b4f610bd6dbfd3e6d0d01c98fb4ad093f0b2152,True,True,,True,pass,pass,not_applicable,False,34.92,2030.0,-17.087784531831424,0.0146475,0.030000000000000002,0.0257,0.011154,,,
S039,P20-1,P20,en,gptlive,gemini,sim-amend-quantity,True,completed,2026-09-12T23:39:30.444902+00:00,2026-09-12T23:43:01.438876+00:00,3b9ad6e54588ed6aab8fea34ced8e1b2163a0c25760695e76b4b2c4c187870d6,False,False,,True,fail,pass,pass,False,147.5,1880,-25.76910490133256,0.14797190000000002,0.125532,0.0771,0.051213,,,
S040,P20-2,P20,en,gemini,gemini,sim-amend-quantity,True,completed,2026-09-12T23:43:02.010167+00:00,2026-09-12T23:45:41.985686+00:00,d50ee65f2deaca2d055383d705c00038c8ba388da6b0fea32ff43c1d8db06eb0,True,True,,False,pass,pass,pass,False,97.7,2300,-18.416803869034712,0.06565275,0.05040525,0.0514,0.033884000000000004,,,
S041,P21-1,P21,en,gemini,gptlive,sim-amend-quantity,True,completed,2026-09-12T23:45:42.560226+00:00,2026-09-12T23:49:45.983270+00:00,7613e487ec96ba37e9b8859871a5869e0057ca9a0a8b43ebf3ecee2960705f7c,True,True,,True,pass,unclear,pass,False,179.94,2220,-18.833292287165953,0.075789,0.15166666666666667,0.0878,0.034681000000000003,,,
S042,P21-2,P21,en,gptlive,gptlive,sim-amend-quantity,True,completed,2026-09-12T23:49:46.582319+00:00,2026-09-12T23:53:52.159851+00:00,927c9fb7e9ef7c8effcdb0178d387004064eb21ab3b8257cdb5a75225b245605,True,True,,True,pass,unclear,pass,False,179.94,1880,-19.54516513835182,0.1800405,0.15166666666666667,0.0878,0.062194000000000006,,,
S043,P22-1,P22,en,gemini,gptlive,sim-change-address,True,completed,2026-09-12T23:53:52.764082+00:00,2026-09-12T23:56:41.551131+00:00,24ece2569b80b5332f237aae593c433c31f8bccf214e57e012634dbbd88220c3,True,True,,False,pass,pass,pass,False,105.36,2380,-17.7546833765297,0.08026725,0.08916666666666667,0.0514,0.036115,,,
S044,P22-2,P22,en,gptlive,gptlive,sim-change-address,True,completed,2026-09-12T23:56:42.171107+00:00,2026-09-13T00:00:33.278438+00:00,9e665db6ec42da26f56a73e32d0d1c99856557a547f7205477872a583c0053d9,False,False,,True,fail,unclear,pass,False,168.26,2060,-19.541308646658724,0.16924863333333334,0.14166666666666666,0.0771,0.057540999999999995,,,
S045,P23-1,P23,en,gemini,gemini,sim-stock-shortage,True,completed,2026-09-13T00:00:33.904148+00:00,2026-09-13T00:02:58.439376+00:00,01e4452074e53421e456318a084d1e1c72fbe727721b319554a85da1ca5eb835,False,False,,True,fail,unclear,not_applicable,False,74.92,1740,-16.454931235342613,0.020448,0.0197775,0.0514,0.025827999999999997,,,
S046,P23-2,P23,en,gptlive,gemini,sim-stock-shortage,True,completed,2026-09-13T00:02:59.029557+00:00,2026-09-13T00:05:29.948123+00:00,e83f5fd54e083ad5952ae07f7ff90aeb493a0b45e2dc02ecf98f3f7ca59245ff,False,True,empty-stock-order-reference-v1,True,fail,unclear,pass,False,76.46,1780,-26.384421840902448,0.07341143333333333,0.03269025,0.0514,0.026300999999999998,,,
S047,P24-1,P24,en,gptlive,gptlive,sim-existing-order,True,completed,2026-09-13T00:05:30.665211+00:00,2026-09-13T00:09:39.930149+00:00,f77bdc7d10db27b8a69d7d27058f1f3b04e191f76791a898bb1b8bda3ac988a8,True,True,,True,unclear,pass,pass,False,179.82,1700,-20.3116194248435,0.1602389,0.15166666666666667,0.0878,0.032088,,,
S048,P24-2,P24,en,gemini,gptlive,sim-existing-order,True,completed,2026-09-13T00:09:40.615130+00:00,2026-09-13T00:11:48.832019+00:00,354f388bccfac1a9d29fe6fa22bc5608ad48d74982d3dfbc1d01419bf05f0832,False,False,,True,fail,fail,not_applicable,False,63.7,1700,-17.370816507223434,0.03307725,0.05416666666666667,0.0514,0.021212,,,
S049,P25-1,P25,en,gemini,gemini,sim-cancel-order,True,completed,2026-09-13T00:11:49.546248+00:00,2026-09-13T00:14:14.963209+00:00,5c97b71a16887408de7c514ec831645e987e8ea5c664c8c9ee5caccb917fc1e8,True,True,,True,fail,pass,fail,False,79.86,2200,-17.5544894302284,0.03883575,0.024114,0.0514,0.027618,,,
S050,P25-2,P25,en,gptlive,gemini,sim-cancel-order,True,completed,2026-09-13T00:14:15.756671+00:00,2026-09-13T00:18:28.205753+00:00,404004e5defc382c3ac41889ff4470d6724e581bdcfd6674ee2b50e7d56eaf17,False,False,,True,unclear,unclear,fail,False,179.96,1820,-24.613013737089744,0.1722883,0.094299,0.0878,0.061704999999999996,,,
S051,P26-1,P26,en,gemini,gptlive,sim-no-consent,True,completed,2026-09-13T00:18:28.869761+00:00,2026-09-13T00:20:13.781955+00:00,36435507291349e38d4899215d100c50cd3cce54aa1bf2eac5c64608f83e8c4c,True,True,,True,pass,pass,not_applicable,False,35.54,1940.0,-17.147052895659584,0.0145455,0.030000000000000002,0.0257,0.012013,,,
S052,P26-2,P26,en,gptlive,gptlive,sim-no-consent,True,completed,2026-09-13T00:20:14.516211+00:00,2026-09-13T00:22:12.010577+00:00,938c024b2c8131e7d57cdcb8f89549c9c225c8d1380e0b1902fa5a6d3f04aaca,True,True,,True,pass,unclear,not_applicable,False,44.64,1420,-17.481578515627827,0.04059326666666667,0.0375,0.0257,0.014359,,,
S053,P27-1,P27,en,gptlive,gemini,sim-retry-after-timeout,True,completed,2026-09-13T00:22:12.753463+00:00,2026-09-13T00:25:38.530447+00:00,9f704d8855d489023aa7cf1cb0b24042363bb91ceccdcacfc21f81ce05f032e1,True,True,,True,pass,unclear,pass,False,130.02,1740.0,-23.596630629789274,0.12616903333333335,0.053205,0.0771,0.045219,,,
S054,P27-2,P27,en,gemini,gemini,sim-retry-after-timeout,True,completed,2026-09-13T00:25:39.346794+00:00,2026-09-13T00:29:29.323542+00:00,4ebee393d34e7e1a4c46b7ab7f857490eeec8fd525aa755a25b8af1776e9b1de,False,False,,True,fail,fail,pass,False,156.18,1880,-19.467372591167816,0.08677575,0.05825025,0.0771,0.053766,,,
S055,P28-1,P28,ro,gemini,gptlive,sim-create-order,True,completed,2026-09-13T00:29:30.116324+00:00,2026-09-13T00:32:29.190747+00:00,cff5d9f995b882d72e4591445853e2f404abd8d9a33125c1cbdaab2cc92aa792,True,True,,True,fail,unclear,fail,False,103.34,1920,-20.32584278810478,0.0498405,0.08666666666666667,0.0514,0.034998,,,
S056,P28-2,P28,ro,gptlive,gptlive,sim-create-order,True,completed,2026-09-13T00:32:29.963381+00:00,2026-09-13T00:35:46.422812+00:00,99126e108eb334f2c8af7d8b3d2c27357957a23e7990c20172474a2b2e69de1c,False,False,,True,fail,unclear,pass,False,119.42,1840,-18.89744145794952,0.11858076666666667,0.10083333333333334,0.055400000000000005,0.040873999999999994,,,
S057,P29-1,P29,en,gemini,gptlive,sim-cancel-order,True,completed,2026-09-13T00:35:47.217990+00:00,2026-09-13T00:38:47.796891+00:00,15e8c85666ea8b94b50bcfc96b537576a32bdde05a0eaa96e714ef214f1aacdc,True,True,,True,pass,unclear,fail,False,101.46,1820.0,-16.0550665931198,0.06249825,0.08583333333333334,0.0514,0.034215999999999996,,,
S058,P29-2,P29,en,gptlive,gptlive,sim-cancel-order,True,completed,2026-09-13T00:38:48.612975+00:00,2026-09-13T00:43:08.005820+00:00,bbdb2f5b5178453d50060e1233be49f7cb2f0e6e153f762abefa8722893be0d8,True,True,,True,unclear,unclear,pass,False,179.8,1860,-18.65503022782835,0.17606529999999998,0.15333333333333335,0.0878,0.049932,,,
S059,P30-1,P30,en,gptlive,gptlive,sim-cancel-order,True,completed,2026-09-13T00:43:08.845655+00:00,2026-09-13T00:47:28.662134+00:00,d573db841750caecdc167ba461d2b215533081daa74efd819ba45a89c551b5e4,True,True,,True,pass,unclear,pass,False,180.02,1840,-20.196381486124864,0.1738596,0.15166666666666667,0.0903,0.055049,,,
S060,P30-2,P30,en,gemini,gptlive,sim-cancel-order,True,completed,2026-09-13T00:47:29.484662+00:00,2026-09-13T00:50:16.504872+00:00,43e09ee9cb53a185857c50b8cd58930cfa6bff0bb58afe53d46c7fd25136c2d3,True,True,,False,unclear,pass,fail,False,87.66,1980.0,-17.71185352306945,0.060429,0.07416666666666667,0.0514,0.029821,,,
